PM2_5,temp,humidity
82.83819999999999,24.6,85.5
84.62685,24.3,85.8
88.33345,24.1,86.2
88.67824999999999,23.9,86.3
88.786,23.8,86.4
90.4238,23.6,86.6
86.5017,23.5,86.9
83.18299999999999,23.4,87.1
81.71759999999999,23.3,87.2
78.5713,23.2,87.3
80.68319999999999,23.2,87.5
84.28205,23.0,87.8
81.2435,23.0,88.0
79.58415,22.9,88.1
84.2605,22.8,88.4
89.45404999999998,22.8,88.7
90.1221,22.8,88.7
86.13534999999999,22.8,88.9
79.54104999999998,22.8,89.1
78.6575,22.9,89.1
76.48094999999999,22.9,89.1
76.09304999999999,22.9,89.1
75.6405,22.9,89.1
76.07149999999999,22.9,89.1
74.49834999999999,23.0,89.1
71.56755,23.0,89.0
68.07645,23.1,89.1
62.81824999999999,23.1,89.1
56.61185,23.1,89.0
52.151,23.0,89.0
49.3064,23.0,89.1
49.58655,22.9,89.3
48.7461,22.9,89.3
47.30225,22.9,89.2
47.86255,22.9,89.1
48.42284999999999,22.9,89.1
47.45309999999999,22.9,89.0
49.34949999999999,22.9,88.8
46.44025,22.9,88.7
46.7204,22.9,88.5
47.60395,23.1,88.2
46.84969999999999,23.3,88.0
47.00054999999999,23.3,88.1
47.86255,23.3,88.3
52.4096,23.3,88.5
53.3578,23.4,88.5
59.11165,23.5,88.6
59.69349999999999,23.7,88.6
57.12905,24.0,88.4
55.44815,24.4,87.8
49.58655,24.8,86.7
50.66405,24.9,86.0
52.17255,25.1,85.3
53.61639999999999,25.3,85.2
58.0988,25.5,85.0
65.5551,25.6,84.3
70.05904999999998,25.7,84.1
72.21404999999999,25.7,84.2
73.6579,25.7,84.2
75.12329999999999,25.7,84.1
78.11874999999999,25.6,84.3
79.62725,25.7,84.4
82.0193,25.7,84.2
95.87595,25.7,84.3
82.42875,25.7,83.9
79.54104999999998,25.6,84.1
85.79055,25.3,85.1
98.41885,25.0,85.8
101.43585,24.8,86.5
96.84569999999998,24.7,87.0
98.28955,24.6,87.2
93.20375,24.6,87.3
90.40225,24.6,87.0
90.2083,24.6,87.5
94.6907,24.6,87.5
102.62109999999998,24.7,87.5
106.34925,24.8,87.2
99.4317,25.0,86.6
95.0355,24.9,86.2
103.1383,24.9,86.5
109.3447,24.9,86.7
106.65095,24.9,86.6
105.7243,24.8,86.6
109.49555,24.8,86.7
103.44,24.7,86.7
99.19465,24.7,86.7
92.85895,24.6,86.6
86.2431,24.5,86.5
83.11834999999999,24.5,86.3
85.8552,24.4,86.3
83.11834999999999,24.3,86.3
85.66125,24.2,86.4
101.22034999999998,24.1,86.6
98.2249,24.0,86.7
90.2083,23.9,86.8
92.5357,23.7,86.9
89.66954999999999,23.7,87.2
95.5958,23.6,87.4
101.17725,23.5,87.7
99.13,23.4,87.9
98.2249,23.3,87.9
101.2419,23.2,88.2
106.1122,23.1,88.6
101.86685,23.0,88.8
102.3194,23.0,89.0
104.23734999999998,22.9,89.2
107.25435,22.8,89.5
110.87475,22.7,89.7
106.69405,22.7,89.8
107.6638,22.6,90.0
113.46075,22.5,90.2
114.68909999999998,22.4,90.4
115.40025,22.4,90.4
114.62444999999998,22.3,90.6
115.05545,22.2,90.8
116.13295,22.2,90.9
115.91745,22.1,91.0
117.72765,22.1,91.1
